Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      736     0.00     0.00  __gnu_cxx::new_allocator<StackElement>::max_size() const
  0.00      0.00     0.00      736     0.00     0.00  __gnu_cxx::new_allocator<StackElement*>::max_size() const
  0.00      0.00     0.00      736     0.00     0.00  std::_Deque_base<StackElement, std::allocator<StackElement> >::_Deque_impl::~_Deque_impl()
  0.00      0.00     0.00      736     0.00     0.00  std::_Deque_base<StackElement, std::allocator<StackElement> >::_M_allocate_map(unsigned long)
  0.00      0.00     0.00      736     0.00     0.00  std::_Deque_base<StackElement, std::allocator<StackElement> >::_M_create_nodes(StackElement**, StackElement**)
  0.00      0.00     0.00      736     0.00     0.00  std::_Deque_base<StackElement, std::allocator<StackElement> >::_M_allocate_node()
  0.00      0.00     0.00      736     0.00     0.00  std::_Deque_base<StackElement, std::allocator<StackElement> >::_M_deallocate_map(StackElement**, unsigned long)
  0.00      0.00     0.00      736     0.00     0.00  std::_Deque_base<StackElement, std::allocator<StackElement> >::_M_initialize_map(unsigned long)
  0.00      0.00     0.00      736     0.00     0.00  std::_Deque_base<StackElement, std::allocator<StackElement> >::_M_deallocate_node(StackElement*)
  0.00      0.00     0.00      736     0.00     0.00  std::_Deque_base<StackElement, std::allocator<StackElement> >::~_Deque_base()
  0.00      0.00     0.00      736     0.00     0.00  std::allocator_traits<std::allocator<StackElement> >::deallocate(std::allocator<StackElement>&, StackElement*, unsigned long)
  0.00      0.00     0.00      736     0.00     0.00  std::allocator_traits<std::allocator<StackElement> >::allocate(std::allocator<StackElement>&, unsigned long)
  0.00      0.00     0.00      736     0.00     0.00  std::allocator_traits<std::allocator<StackElement*> >::deallocate(std::allocator<StackElement*>&, StackElement**, unsigned long)
  0.00      0.00     0.00      736     0.00     0.00  std::allocator_traits<std::allocator<StackElement*> >::allocate(std::allocator<StackElement*>&, unsigned long)
  0.00      0.00     0.00      736     0.00     0.00  std::deque<StackElement, std::allocator<StackElement> >::~deque()
  0.00      0.00     0.00      736     0.00     0.00  std::stack<StackElement, std::deque<StackElement, std::allocator<StackElement> > >::~stack()
  0.00      0.00     0.00      736     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00      656     0.00     0.00  __gnu_cxx::__aligned_membuf<StackElement>::_M_ptr() const
  0.00      0.00     0.00      656     0.00     0.00  __gnu_cxx::__aligned_membuf<StackElement>::_M_addr() const
  0.00      0.00     0.00      656     0.00     0.00  std::_List_node<StackElement>::_M_valptr() const
